ID,Título,Año,Director(es),Slug
161043,"¡Qué noche de casamiento!",1953,"Enrique Carreras",que-noche-de-casamiento
1569,"¡Qué noche de casamiento!",1969,"Julio Porter, José Herrero",que-noche-de-casamiento-2
161197,"...Y mañana serán hombres",1939,"Carlos Borcosque, Juan Sires, Jack Hall",y-manana-seran-hombres
2038,"...Y mañana serán hombres",1979,"Carlos F. Borcosque (h), Jorge Mobaied, Juan Sires, Jack Hall, Jorge Mobaied",y-manana-seran-hombres-2
9686,"1982",2015,"Cristina Motta",1982-i
160314,"1982",2019,"Lucas Gallo",1982
160316,"4x4",2012,"Pablo Marín",4x4
7554,"4x4",2019,"Mariano Cohn, Martín Bustos",4x4-i
160318,"A",2005,"Gwenn Joyaux",a
5644,"A",2012,"Ignacio Dimattia, Gwenn Joyaux",a-2
160320,"Abracadabra",1997,"Adrián Garelik",abracadabra
2859,"Abracadabra",2004,"Julio Midú, Adrián Garelik",abracadabra-2
160322,"Abril",2005,"Christian Pineda, Federico Luaces, Diana González, Magalí Barbatto",abril
3452,"Abril",2011,"Víctor Palacios, Martín Guzmán, Federico Luaces, Diana González, Magalí Barbatto",abril-2
160324,"Acorralados",2002,"Mariano Cattáneo, Ygnacio Cervio, Cristian Díaz (II)",acorralados
4559,"Acorralados",2010,"Julio Bove, Mariano Cattáneo, Ygnacio Cervio, Cristian Díaz (II)",acorralados-2
160326,"Adolescencia",1942,"Francisco Mugica",adolescencia
160327,"Adolescencia",2006,"Esteban Menis, Cecilia Menis",adolescencia-2
50,"Adolescencia",2011,"Guillermo Bergandi, Francisco Mugica, Cecilia Menis",adolescencia-3
160329,"Afuera",2008,"Andrés Testagrossa",afuera
6826,"Afuera",2018,"Martín Folco",afuera-i
160332,"Agua",2003,"Ignacio Laxalde, Agustín Gregori, Bernardo Francese",agua-2-2
3018,"Agua",2006,"Martín San Pedro, Juan Manuel Gonzáles, Ignacio Laxalde, Verónica Chen, Agustín Gregori, Bernardo Francese, Nicolás Di Cocco, Daniela Kozak, Ramiro La Vella, Mariano Turek, Natalia Smirnoff",agua-3
160334,"Aire",1998,"Charlotta Lennartsdotter",aire
3136,"Aire",2018,"Arturo Castro Godoy, Charlotta Lennartsdotter",aire-i
160336,"Akelarre",2020,"Pablo Agüero",akelarre
9648,"Akelarre",2020,"Mila Belén Gallo, Pablo Agüero",akelarre-i
160338,"Alejandra",1956,"Carlos Schlieper",alejandra
68,"Alejandra",2013,"Ernesto Ardito, Virna Molina",alejandra-2
160340,"Alicia",2005,"Marina di Raimondo, Alejandro Zucco, Fernando Polverini",alicia
160341,"Alicia",2010,"Tamara Viñes",alicia-2
