movie_id,movie_title,movie_year,person_id,person_first_name,person_last_name,death_year,years_difference,work_type
6438,"Plumíferos",2019,121114,"Claudio","Monteverdi",1643,376,crew
6671,"La muestra",2010,121114,"Claudio","Monteverdi",1643,367,crew
321,"Cantando llegó el amor",1938,154457,"Miguel","de Cervantes Saavedra",1616,322,crew
8812,"El hombre de Paso Piedra",2017,156205,"Johann","Sebastian Bach",1750,267,crew
8797,"Panke",2016,156205,"Johann","Sebastian Bach",1750,266,crew
539,"La dama duende",1945,152340,"Pedro Calderón","de la Barca",1681,264,crew
2297,"Los libros y la noche",2000,140906,"Giovanni","B. Pergolesi",1736,264,crew
10259,"¡El archiduque debe morir!",2021,104991,"Georg","Friedrich Händel",1759,262,crew
6770,"Ernesto Sabato, mi padre",2010,156205,"Johann","Sebastian Bach",1750,260,crew
2504,"Perón, sinfonía del sentimiento",1999,151356,"Antonio","Vivaldi",1741,258,crew
4536,"El sueño del errante",2003,156205,"Johann","Sebastian Bach",1750,253,crew
500,"Crónica de un niño solo",1965,152657,"Arcángelo","Corelli",1713,252,crew
2850,"Balnearios",2001,156205,"Johann","Sebastian Bach",1750,251,crew
8788,"El teorema de Santiago",2017,110837,"Georg","Philipp Telemann",1767,250,crew
2297,"Los libros y la noche",2000,156205,"Johann","Sebastian Bach",1750,250,crew
1887,"Últimas imágenes del naufragio",1990,156205,"Johann","Sebastian Bach",1750,240,crew
10317,"Las chinas",2021,104508,"Pietro","Metastasio",1782,239,crew
399,"Chorros",1987,156205,"Johann","Sebastian Bach",1750,237,crew
2112,"Ana, ¿dónde estás?",1985,156205,"Johann","Sebastian Bach",1750,235,crew
10317,"Las chinas",2021,143257,"Christoph","Willibald Gluck",1787,234,crew
464,"La conquista del paraíso",1981,156205,"Johann","Sebastian Bach",1750,231,crew
675,"Éste es el romance del Aniceto y la Francisca, de cómo quedó trunco, comenzó la tristeza y unas pocas cosas más...",1967,151356,"Antonio","Vivaldi",1741,226,crew
2579,"Sobre todas estas estrellas",1965,151356,"Antonio","Vivaldi",1741,224,crew
172,"Autocine mon amour",1972,156205,"Johann","Sebastian Bach",1750,222,crew
1590,"Prisioneros de una noche",1962,151356,"Antonio","Vivaldi",1741,221,crew
604,"El dependiente",1969,156205,"Johann","Sebastian Bach",1750,219,crew
620,"En la selva no hay estrellas",1968,156205,"Johann","Sebastian Bach",1750,218,crew
2291,"Ojos que no ven",2008,157209,"Wolfgang","Amadeus Mozart",1791,217,crew
