tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1477129,Una Casa,Una Casa,2023,2023-12-31,2023-12-31,AR,,,0.1644,0,0,missing,,,,No encontrada en CineNacional
1281753,Santa Calle,Santa Calle,2023,2023-12-31,2023-12-31,AR,,"Este fotodocumental se centra sobre la calle Cuzco, en Liniers, y sus habitantes. Con su  iglesia, sus autos y sus peatones, el exterior es un pastiche gris, luminoso y homogéneo. A  primera vista no ",0.0757,0,0,missing,,,,No encontrada en CineNacional
1173965,Panchos,Panchos,2023,2023-12-31,2023-12-31,AR,,"Luego de una noche frenética, Jan pasa un día de resaca en la plaza con sus amigos. Por la tarde deciden ir a comer panchos.",0.258,0,0,missing,,,,No encontrada en CineNacional
1240239,Las Preguntas que Perdimos,Las Preguntas que Perdimos,2023,2023-12-30,2023-12-30,AR,,,0.1039,9,2,missing,,,,No encontrada en CineNacional
1499492,La rosa con pétalos de algodón,La rosa con pétalos de algodón,2023,2023-12-29,2023-12-29,AR,,"Gustavo Alsina es un joven escritor que llega a casa de sus tíos para inspirarse para escribir una nueva novela. Allí conocerá a Marina, una paciente psiquiátrica veinte años mayor que él, escapada de",0.4015,0,0,missing,,,,No encontrada en CineNacional
1440645,Goodbye Evelyn,Goodbye Evelyn,2023,2023-12-28,2023-12-28,AR,,Cortometraje de Bernardita Galoppo,0.3156,0,0,missing,,,,No encontrada en CineNacional
1231592,DARDO: CONSTITUCIONALISTA,DARDO: CONSTITUCIONALISTA,2023,2023-12-28,2023-12-28,AR,,"Dardo es un youtuber de viajes, llega a Buenos Aires el 18 de diciembre de 2023 para el primer aniversario del tercer campeonato del mundo de futbol de argentina. Quiere comprase una guía t para recor",0.0261,0,0,missing,,,,No encontrada en CineNacional
1182142,On the rails,En el andén,2023,2023-12-28,2023-12-28,IT,,"Daniel, un introvertido y cauteloso fotógrafo que convive con su nueva novia, comienza a sentirse observado por unos extraños hombres de sobretodo a los que fotografía en la estación de subte.",0.2518,0,0,missing,,,,No encontrada en CineNacional
1140945,"Volver, Volver, Volver","Volver, Volver, Volver",2023,2023-12-28,2023-12-28,AR,,"En un mundo extraño dominado por un curioso ser, donde parece percibirse una familiar disputa entre la vida y la muerte, un hombre intentara escapar de allí por todos los medios. Los engaños de este e",0.1543,6.1,75,missing,,,,No encontrada en CineNacional
1222550,Noche de Paz Noche de Muerte IX Prohibido decir Cerdo,Noche de Paz Noche de Muerte IX Prohibido decir Cerdo,2023,2023-12-25,2023-12-25,AR,,,0.4956,9,1,missing,,,,No encontrada en CineNacional
1243084,NOELIO,NOELIO,2023,2023-12-24,2023-12-24,AR,Lanzamiento de la version de 1 minuto para el concurso Historias de Navidad en 60 segundos de Cultura Inquieta 2023,"NOELIO es el mayor fanático de Papa Noel. En esta entrevista para un documental sobre navidad, aprenderemos un poco sobre él, del porqué de su fanatismo por este personaje tan icónico y un poco de su ",0.1091,10,1,missing,,,,No encontrada en CineNacional
1251028,Save Your Jizz for Another Day,Save Your Jizz for Another Day,2023,2023-12-23,2023-12-23,DE,,,0,0,0,missing,,,,No encontrada en CineNacional
1233417,Sleepover Squad,Sleepover Squad,2023,2023-12-23,2023-12-23,DE,,,0,0,0,missing,,,,No encontrada en CineNacional
1177751,Latin Leche 24,Latin Leche 24,2023,2023-12-23,2023-12-23,DE,,,0,0,0,missing,,,,No encontrada en CineNacional
1157615,Fantasear,Fantasear,2023,2023-12-23,2023-12-23,AR,,"Dos desconocidas tienen un encuentro casual el cual las llevará a cuestionarse la línea entre lo ficticio y lo real, entre aquello que es una fantasía y aquello que no lo es.",0.1011,8,1,missing,,,,No encontrada en CineNacional
1441182,Night With My Daddy,Night With My Daddy,2023,2023-12-22,2023-12-22,US,,,0,0,0,missing,,,,No encontrada en CineNacional
1213615,F,F,2023,2023-12-22,2023-12-22,AR,,"F, un chico de 18 años, se sumerge en el mundo del Drag Queen donde comienza a construir su identidad a pesar de los mandatos familiares y sociales, que le imponen tener miedo y vergüenza de ser quien",0.2054,6,36,missing,,,,No encontrada en CineNacional
1286000,Agenda Telefónica,Phone Book,2023,2023-12-21,2023-12-21,US,Internet Streaming Limited,"Perezoso, aburrido y desempleado, Fred pasa tiempo en casa tumbado en un sofá bebiendo cerveza, comiendo palomitas de maíz y mirando televisión sin parar hasta que un día su televisor se estropea. Per",0.0918,0,0,missing,,,,No encontrada en CineNacional
1193818,La burbuja,La burbuja,2023,2023-12-21,2023-09-25,FR,Festival Biarritz Amérique Latine,"Daniela y su familia viaja en ayuda de su padre enfermo (Roque) que vive aislado en una estancia. Mientras cuida de él, una crisis energética estalla sobre todo el país. Huir al exterior parece la úni",0.4151,7,1,exists_by_tmdb,192116,La burbuja,2023,Match por tmdb_id
