tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
1356236;Saint Catherine;Saint Catherine;2024;24/9/2024;18/10/2024;CO;Fantasmagoría - Festival de Cine Fantástico y de Terror de Medellín;Una niña huérfana es rescatada de un ritual satánico y llevada al Instituto Saint Catherine para jóvenes sin hogar. Allí aprenderá nuevas habilidades mientras se enfrenta a los demonios que la acechan;29628;65;72
1386252;Apostando con el diablo;Apostando con el diablo;2024;28/11/2024;28/11/2024;AR;Buenos Aires Rojo Sangre;Dori es una jubilada que pasa sus días tomando mate y jugando a la Quiniela en compañía de Claudia, la mujer que la ayuda con la limpieza de su casa. Un día, se encuentra con la desagradable sorpresa ;27514;9;1
1287904;Romeo y Ofelia;Romeo y Ofelia;2024;27/11/2024;27/11/2024;AR;Festival Internacional de Cine de Mar Del Plata;La historia transcurre en un presente o futuro cercano en la ciudad de Rosario, Argentina, en medio de trifulcas y hechos violentos vinculados con dos grupos relacionados con las barras bravas, la del;26509;0;0
1156151;A cielo abierto;A cielo abierto;2024;17/10/2024;31/8/2023;IT;Venice Film Festival;;25032;7333;9
1327772;El sótano;El sótano;2024;22/10/2024;22/10/2024;CO;Bogotá Horror Film Festival;Cuatro desconocidos despiertan, heridos, en un sótano espeluznante. Son sometidos por un hombre con máscara de Conejo a jugar a reconstruir el rompecabezas de un pasado oscuro. Hay verdad en las menti;23306;7;1
1303923;Mondongo: El equilibrista;Mondongo: El equilibrista;2024;26/6/2024;26/6/2024;FR;FIDMarseille;;21916;7;1
1385298;Son las 12;Son las 12;2024;30/11/2024;30/11/2024;AR;Buenos Aires Rojo Sangre XXV;Una mujer mayor, recluida en un geriátrico, está a punto de cumplir años. Mientras el frío personal del establecimiento le festeja el cumpleaños por anticipado, la radio advierte la fuga del peligrosí;19656;0;0
1274049;Fire Supply;Fire Supply;2024;26/4/2024;26/4/2024;AR;BAFICI;"""x q los podcast tienen un límite una persona q ama a su madre + q a su padre querría fabricar hielo o acero o sino tener un cementerio para q su madre no sufra x nadie.""";19249;8;2
898336;Todo nuevo;Todo nuevo;2024;25/11/2024;25/11/2024;AR;Mar del Plata Film Festival;Los últimos días en la escuela de Julia, una adolescente que se esfuerza por hacer pie en un mar de expectativas y confusión.;19062;0;0
1270400;Cuatro hombres;Cuatro hombres;2024;20/4/2024;20/4/2024;AR;BAFICI;José Celestino Campusano prepara una nueva película. Para ello, convoca a un grupo de hombres entre los que se encuentra Vikingo, su actor fetiche. Los cuatro reflexionan sobre sus orígenes, la violen;17242;0;0
1382163;Marianela & el cadáver;Marianela & el cadáver;2024;5/12/2024;5/12/2024;AR;Buenos Aires Rojo Sangre;Marianela, una joven de 19 años, debe revelar un secreto a su complicada madre durante una caótica fiesta de cumpleaños, mientras lidia con un problema aún mayor: un cadáver que apareció misteriosamen;16963;0;0
1375061;Muerte, muerte, muerte;Muerte, muerte, muerte;2024;30/11/2024;30/11/2024;AR;Buenos Aires Rojo Sangre;Un grupo de amigas se mete a una casa abandonada, sin saber lo que pasará cuando encuentren un altar.;15105;10;2
1212755;Culpa cero;Culpa cero;2024;8/8/2024;5/10/2024;US;AFI Latin American Film Festival;La vida de Berta Muller, una exitosa escritora, se ve sacudida cuando, en la cima de su carrera, es expuesta en los medios por plagio. Lejos de asumir la responsabilidad, negará las acusaciones y trat;14699;7222;9
1309923;No negociable;No negociable;2024;25/7/2024;25/7/2024;AG;Netflix;El negociador Alan Bender debe rescatar al presidente de un secuestro, pero también deberá negociar para salvar a su mujer y su matrimonio.;13013;6218;110
1191610;Goyo;Goyo;2024;27/6/2024;4/7/2024;MX;Netflix;Goyo es un hombre con Asperger, fanático de Van Gogh, que trabaja como guía en el Museo de Bellas Artes en la Ciudad de Buenos Aires. Su estructurada rutina se ve interrumpida cuando conoce a Eva, la ;12845;6954;76
1064909;The Caregiver;The Caregiver;2024;28/11/2024;11/5/2023;GR;Horrorant Film Festival;Emma acepta un trabajo como cuidadora de una anciana senil. Cosas extrañas comienzan a suceder en la casa. Lo que Emma no sabe es que la casa esconde un aterrador secreto.;12698;10;1
1191611;Campamento con mamá;Campamento con mamá;2024;5/12/2024;5/12/2024;AS;Netflix;Para salvar la acampada de fin de curso de su hijo, una madre soltera decide conducir el autobús mientras intenta demostrarle que puede ser una madre guay.;11909;6885;65
