tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
1093911;Nene revancha;Nene revancha;2023;7/3/2023;7/3/2023;AR;BAFICI;Una tragedia de venganza en la que los hijos pagan las faltas de sus padres. A partir del cruce casual entre dos internos de una colonia penitenciaria juvenil se desata una madeja que conducirá a un d;67183;4;2
1002459;El rapto;El rapto;2023;26/10/2023;2/9/2023;IT;Venice Film Festival;Basando en el libro homónimo de Martín Sivak. El 5 de diciembre de 1990 un grupo de obreros que levantaba un hotel en el centro de Buenos Aires vio cómo Jorge Sivak se lanzaba al vacío sin darles tiem;56628;6578;45
1179107;Trenque Lauquen;Trenque Lauquen;2023;15/9/2023;15/9/2023;BE;Film Fest Ghent Website;Para el proyecto único 2x25, el festival pidió a 25 compositores que compusieran una pieza musical corta, tras lo cual 25 cineastas hicieron un cortometraje. Un cortometraje de Laura Citarella con mús;43635;6;1
1196263;Deus Irae;Deus Irae;2023;3/11/2023;3/11/2023;AR;Festival Internacional de Cine de Mar del Plata;El Padre Javier revela que este sacerdote dedica su vida a visitar a familias que afirman haber visto cosas que no pertenecen a este mundo y a limpiar sus hogares de los demonios que intentan poseerlo;26078;66;5
1080566;El asistente;El asistente;2023;1/3/2023;1/3/2023;AR;Star+;Jimmy y Miguel se embarcan en una especie de camino del héroe en el que Miguel ayudará a su compañero, un rockero venido a menos, a encontrarle una cura a sus pesadillas y adicciones.;22456;88;5
1127842;El intercambio;El intercambio;2023;18/5/2023;16/11/2025;FR;Festival Chéries Chéris;Dos amigos, Mateo y Lucas, deciden salir de fiesta en una calurosa noche de verano. Luego Mateo conoce a Lucía y ocurre un hecho que altera sus vidas para siempre.;17749;5125;8
1110738;Terminal Young;Terminal Young;2023;22/4/2023;22/4/2023;AR;BAFICI;Una mujer que sufrió un incidente grave con una tenista violenta –en otro video de sí misma– ahora sale con un músico de jazz de Ramos Mejía retraído e inseguro, e igual ella está más fuerte y más con;12239;68;8
1120895;Nada de todo esto;Nada de todo esto;2023;17/5/2023;15/5/2024;FR;France 3 (Libre court);;10159;6;7
1197118;Quedate quieto o te amo;Quedate quieto o te amo;2023;5/11/2023;16/10/2025;DE;Hamburg International Queer Film Festival;Hasta los animales más insignificantes tienen intacto el instinto de supervivencia. Pero El Malincho no: este joven bandido busca desesperadamente refugio en el amor.;10032;10;1
1091079;El filo de las tijeras;El filo de las tijeras;2023;5/3/2023;5/3/2023;GR;Thessaloniki Documentary Festiva;Al modo de una aplicación de citas, un hombre se disecciona para construir una bitácora del deseo. Una peluquería del conurbano, el cruising y una trieja convergen en un relato que fluctúa entre la an;9808;2;1
