local_id,local_title,local_year,local_director,tmdb_id,tmdb_title,tmdb_year,tmdb_director,imdb_id,match_score,match_status,match_reason
163533,Delmira,2025,Daiana Rosenfeld,1561647,Delmira,,,,40,no_match,Título exacto (100%)
196388,Cantar desnuda,2025,Gonzalo García-Pelayo,1450838,Primera parte: Cantar. Segunda parte: Desnuda,2025,Gonzalo García-Pelayo,,75,no_match,Año exacto; Director coincide; Producción Argentina
196931,Yo y la que fui. Retrato sobre Adriana Lestido,2025,Constanza Niscovolos,,,,,,0,no_match,Sin resultados en TMDB
196932,Demanda contra el olvido. Poesía y aventura en Raúl González Tuñón,2025,Horacio López,,,,,,0,no_match,Sin resultados en TMDB
196934,Tras los pasos de Superpocho,2025,Nacho Garassino,1561650,Tras los pasos de Superpocho,,,,50,no_match,Título exacto (100%); Duración similar (±0min)
196948,La sangre de la luna,2025,Daiana Rosenfeld,1564649,A noite da lua de sangue,2025,Bruno H Barros,,25,no_match,Año exacto
197001,Instante,2025,Daniel Silveira,1489324,Instantáneas,2025,Irene Corts Curto,tt37100378,40,no_match,Título parcial (67%); Año exacto
197015,The Letter,2025,Rodrigo Vila,1554569,The Letter,2025,Mourad Guechoud,,65,no_match,Título exacto (100%); Año exacto
197034,Apartamento 1C,2025,Gabriel Musco,,,,,,0,no_match,Sin resultados en TMDB
197045,La fiera enjaulada,2025,Hilario Quinteros,,,,,,0,no_match,Sin resultados en TMDB
161565,¡Obreros!,2024,Cristian Pauls,1515041,Agregados obreros,2025,Marcelo Rest,,35,no_match,Año ±1; Producción Argentina
194650,"Cenizas y diamantes, Don Cornelio y La Zona",2024,Ricardo Piterbarg,1270327,"Cenizas y diamantes, la película de Don Cornelio y La Zona",2024,Ricky Piterbarg,,70,no_match,Título parcial (74%); Año exacto; Producción Argentina; Duración similar (±0min)
194720,El campo en mí,2024,Tamara Mesri,1233346,En el campo de batalla,2024,"Lisa Marie Malloy, J.P. Sniadecki, Ray Whitaker, Theresa Delsoin",,25,no_match,Año exacto
195190,Tulpa,2024,Iván Kapitonov,1368315,Tulpamancer,2024,"Marc da Costa, Matthew Niederhauser",,25,no_match,Año exacto
195925,Los turistas,2024,Gaby Smiths,1202124,"Los turistas, una temporada en el infierno",2023,Gaby Smiths,tt28893118,75,no_match,Año ±1; Director coincide; Producción Argentina; Duración similar (±0min)
196443,El mensaje,2024,Iván Fund,1450181,El Mensaje,2024,Alan Najar,tt36166051,65,no_match,Título exacto (100%); Año exacto
196758,Antes del cuerpo,2024,"Carina Piazza, Lucía Bracelis",1402329,Como deshacerse de un cuerpo,2024,Teppo Airaksinen,tt32485697,25,no_match,Año exacto
196899,Entre la tierra y el cielo,2024,"Pablo Ratto, Hernán Pepe",1397968,Entre el cielo y la tierra,2024,"Lara Cutuli, Paloma Triviño",,45,no_match,Año exacto; Producción Argentina
196966,Nalá,2024,Florencia Marina Romero,1314160,Nala,2024,Danny Gevirtz,,65,no_match,Título exacto (100%); Año exacto
196988,Putas,2024,Demián Alexander,,,,,,0,no_match,Ningún candidato supera umbral mínimo
197035,"Ayahuasca ahora, voces de una guerra silenciosa",2024,Carlos Cejas,,,,,,0,no_match,Sin resultados en TMDB
2441,Ángeles,2023,Paula Markovitch,1135492,Angeles,2023,"Hannah Fay Foligno, Alexis Adams",tt14494890,65,no_match,Título exacto (100%); Año exacto
162508,Dúo,2023,Meritxell Colell Aparicio,1223374,آهنگ دو نفره,2023,Arezoo Arzanesh,tt27511161,25,no_match,Año exacto
188072,O+,2023,Bruno Musso,1016346,MR-9: Ejecuta o muere,2023,Asif Akbar,tt9044418,25,no_match,Año exacto
188568,Desatadas,2023,Azul Lombardía,,,,,,0,no_match,Ningún candidato supera umbral mínimo
189604,Juego de brujas,2023,Fabián Forte,751394,El juego de la bruja,2020,"Nicolás Onetti, Nicholas Peterson, Daniel Rübesam, Victor Català, Brian Deane, Oliver Lee Garland, Christopher West, Guillermo Lockhart",tt12739994,35,no_match,Título parcial (65%); Producción Argentina
189706,"Seremos millones. Bolivia, Evo y la fuerza de un pueblo",2023,"Diego Briata, Santiago Vivacqua",,,,,,0,no_match,Sin resultados en TMDB
193420,Paisaje,2023,Matías Rojo,1111488,Fragmentación de un paisaje patagónico,2023,Ernesto Baca,,45,no_match,Año exacto; Producción Argentina
193896,"Reus II, la vuelta al barrio",2023,"Eduardo Piñero Laens, Pablo Fernández Crosa",1197638,"Reus, la vuelta al barrio",2023,"Eduardo Piñero, Luis Antonio Pereira",tt12372176,75,no_match,Título similar (89%); Año exacto; Producción Argentina
194012,Vladimir,2023,Martín Riwnyj,1197559,Superfan: The Story of Vladimir,2023,Matt Braine,tt14432916,25,no_match,Año exacto
194579,Por el paraná,2023,"Alejo Dirisio, Franco González",,,,,,0,no_match,Ningún candidato supera umbral mínimo
194658,Faro,2023,Ángeles Hernández,1232913,Lost in Time in the Faroe Islands,2023,Pablo Merín,tt27611617,35,no_match,Año exacto; Duración similar (±2min)
195244,Tuve el corazón,2023,"Oliver Kolker, Hernán Findling",778277,La clave del corazón,2023,Kerwin Go,tt29025883,50,no_match,Título parcial (65%); Año exacto; Duración similar (±4min)
196057,El llanto,2023,Pedro Martín-Calero,1389915,El llanto de las tortugas,2023,Jaime Villa,tt29337767,25,no_match,Año exacto
9819,Existir,2022,Gabriel Grieco,970807,Existir,2022,Cristian Martínez,tt19888592,65,no_match,Título exacto (100%); Año exacto
9976,La Tara,2022,Amparo González Aguilar,1042199,La tara,2024,Amparo Aguilar,tt8907586,70,no_match,Título exacto (100%); Producción Argentina; Duración similar (±1min)
9977,El juicio,2022,Ulises de la Orden,844530,El juicio Deventer,2021,Sander Burger,tt6851410,15,no_match,Año ±1
159433,"Telma, el cine y el soldado",2022,Brenda Taubin,,,,,,0,no_match,Sin resultados en TMDB
159584,Respirando verde,2022,Melanie Nicole Cesare,,,,,,0,no_match,Sin resultados en TMDB
159587,Caviahue,2022,"Grecia Cormack,  Roussi Baez, Gerónimo Llancao, Megan Roberts",,,,,,0,no_match,Sin resultados en TMDB
159593,Tierra perdida,2022,Juan Cruz Caricati,324544,Tierras perdidas,2025,Paul W. S. Anderson,tt4419684,30,no_match,Título similar (88%)
