local_id;local_title;local_year;local_director;tmdb_id;tmdb_title;tmdb_year;tmdb_director;imdb_id;match_score;match_status;match_reason
10091;Reconquista;2025;Ariel Martínez Herrera;1414745;Reconquista: El diario de Scalabrini Ortiz;2025;Ariel Martínez Herrera;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
196410;Wacay, mujeres del tabacal;2025;María Belén Revollo;1271583;Wacay, mujeres del tabacal;2024;Belén Revollo;;115;auto_accept;"Título exacto (100%); Año ±1; Director coincide (high: Nombre contenido (belen revollo ⊆ maria belen revollo)); Producción Argentina; Duración similar (±2min)"
196783;Susana Rinaldi, libre;2025;Isabel Marcenaro;1451047;Susana Rinaldi, libre;2025;Isabel Marcenaro Bouter;;115;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Nombre contenido con apellido (isabel marcenaro ⊆ isabel marcenaro bouter)); Producción Argentina"
196917;Bibas: asesinados por ser judíos;2025;Mariana Bellini;1561646;Bibas: asesinados por ser judíos;2025;Mariana Bellini;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
196931;Yo y la que fui. Retrato sobre Adriana Lestido;2025;Constanza Niscovolos;;;;;;0;no_match;Sin resultados en TMDB
196932;Demanda contra el olvido. Poesía y aventura en Raúl González Tuñón;2025;Horacio López;;;;;;0;no_match;Sin resultados en TMDB
196948;La sangre de la luna;2025;Daiana Rosenfeld;1561643;La sangre de la luna;2025;Daiana Rosenfeld;;115;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina"
196952;Nuestra parte del mundo;2025;Juan Schnitman;1450998;Nuestra parte del mundo;2025;Juan Schnitman;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
197003;La casa;2025;"Gustavo ""Chus"" Triviño";1568759;La casa;2025;Gustavo Triviño;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Apellido igual + nombre contenido (gustavo⊂gustavo)); Producción Argentina; Duración similar (±0min)"
197034;Apartamento 1C;2025;Gabriel Musco;;;;;;0;no_match;Sin resultados en TMDB
197045;La fiera enjaulada;2025;Hilario Quinteros;;;;;;0;no_match;Sin resultados en TMDB
197205;Los no humanos;2025;Ximena González;1584750;Los no humanos;2025;Ximena González;;105;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Duración similar (±0min)"
197228;Ayer ya es tarde;2025;Ignacio Barragán;1589320;Ayer ya es tarde;2025;Ignacio Barragan;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
197236;BIYUYA;2025;Juan Ferrero;1482232;BIYUYA;2025;Juan Ferrero;;105;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Duración similar (±0min)"
197244;Serafín;2025;Matías Juran;1586292;Serafín;2025;Daniel Martínez, Matías Juran;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
197249;Alicia en el Río de la Plata;2025;Alejandro Diego;1581314;Alicia en el Río de la Plata;2025;Diego Alejandro;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Nombre contenido con apellido (alejandro diego ⊆ diego alejandro)); Producción Argentina; Duración similar (±0min)"
197261;atenas, argentina;2025;Daniela Fernanda Duré Gauna;1471744;atenas, argentina;2025;Daniela Fernanda Duré Gauna;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
197280;Souvenir;2025;Dakota Lihúen Rodríguez;1428747;Souvenir;2025;Dakota Lihuen Rodriguez;;115;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina"
197296;Marisa y Gomoso;2025;Pablo Parés;910498;Marisa y Gomoso;2025;Pablo Parés;tt30088924;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
197318;Fiesta pueblo;2025;Ignacio Laxalde;1451017;Fiesta pueblo;2025;Ignacio Laxalde;;125;auto_accept;"Título exacto (100%); Año exacto; Director coincide (high: Similitud 100%); Producción Argentina; Duración similar (±0min)"
