tmdb_id,full_name,first_name,last_name,gender,reason,movie_title,role
5049915,"Marina Fiorini","","",NULL,"Job no mapeado: "Cinematography" (Crew)","Son las 12","Cinematography"
2654661,"Gonzalo Komel","","",NULL,"Job no mapeado: "Sound Director" (Sound)","Son las 12","Sound Director"
4331222,"Pedro Becco","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Son las 12","Assistant Director"
4826530,"Agustin Fittipaldi","","",NULL,"Job no mapeado: "Continuity" (Directing)","Son las 12","Continuity"
5049920,"Belén Saitua","","",NULL,"Job no mapeado: "Story" (Writing)","Son las 12","Story"
4331222,"Pedro Becco","","",NULL,"Job no mapeado: "Story" (Writing)","Son las 12","Story"
5049914,"Camila Pagano","","",NULL,"Job no mapeado: "Story" (Writing)","Son las 12","Story"
3771573,"Ana Bilos","","",NULL,"Job no mapeado: "Focus Puller" (Camera)","Son las 12","Focus Puller"
5049928,"Julieta Sol","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","Son las 12","Gaffer"
3690220,"Alan Tejerina","","",NULL,"Job no mapeado: "Electrician" (Lighting)","Son las 12","Electrician"
3973139,"Renata di Benedetto Candelaria","","",NULL,"Job no mapeado: "Costumer" (Costume & Make-Up)","Son las 12","Costumer"
4015668,"Florencia Gongora","","",NULL,"Job no mapeado: "Makeup & Hair" (Costume & Make-Up)","Son las 12","Makeup & Hair"
5049939,"Saddie","","",NULL,"Job no mapeado: "Makeup & Hair Assistant" (Costume & Make-Up)","Son las 12","Makeup & Hair Assistant"
5049942,"Luciana Rosi","","",NULL,"Job no mapeado: "Makeup Effects" (Crew)","Son las 12","Makeup Effects"
4015668,"Florencia Gongora","","",NULL,"Job no mapeado: "Makeup Effects Designer" (Costume & Make-Up)","Son las 12","Makeup Effects Designer"
2822562,"Andrés Brandariz","","",NULL,"Job no mapeado: "Story" (Writing)","Son las 12","Story"
4402120,"Mateo Niro","","",NULL,"Job no mapeado: "Production Assistant" (Production)","Son las 12","Production Assistant"
5059737,"Lilith Coso","Lilith","Coso",NULL,"Primer nombre "Lilith" no encontrado en base de datos","Todo nuevo","cast"
5038905,"Ozbek Cattáneo","Ozbek","Cattáneo",NULL,"Primer nombre "Ozbek" no encontrado en base de datos","Marianela & el cadáver","cast"
5038914,"Delfina Slgueiro","","",NULL,"Job no mapeado: "Production Supervisor" (Production)","Marianela & el cadáver","Production Supervisor"
5038918,"Nicolas Basualdo","","",NULL,"Job no mapeado: "Co-Writer" (Writing)","Marianela & el cadáver","Co-Writer"
5032124,"Nicolas Scheno","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","Marianela & el cadáver","Camera Operator"
5038927,"Santiago Sainz","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","Marianela & el cadáver","Camera Operator"
4096165,"Valentina Dolci","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","Marianela & el cadáver","Gaffer"
5038928,"Juan Ignacio Martín","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","Marianela & el cadáver","Gaffer"
5038930,"Iñaki Espejo","","",NULL,"Job no mapeado: "Sound Director" (Sound)","Marianela & el cadáver","Sound Director"
5038933,"Georgina Grasso","","",NULL,"Job no mapeado: "Makeup Effects" (Crew)","Marianela & el cadáver","Makeup Effects"
5038934,"Sofia Di Santo","","",NULL,"Job no mapeado: "Makeup Supervisor" (Costume & Make-Up)","Marianela & el cadáver","Makeup Supervisor"
5038934,"Sofia Di Santo","","",NULL,"Job no mapeado: "Makeup Effects" (Crew)","Marianela & el cadáver","Makeup Effects"
5038937,"Debora Anessi","","",NULL,"Job no mapeado: "Wardrobe Coordinator" (Costume & Make-Up)","Marianela & el cadáver","Wardrobe Coordinator"
3381756,"Ignacio Rosselló","","",NULL,"Job no mapeado: "Colorist" (Editing)","Marianela & el cadáver","Colorist"
5038947,"Josefina Gondou","","",NULL,"Job no mapeado: "Sound Assistant" (Sound)","Marianela & el cadáver","Sound Assistant"
4510381,"Wanda Barrientos","","",NULL,"Job no mapeado: "Color Grading" (Editing)","Marianela & el cadáver","Color Grading"
4223737,"Milo González","","",NULL,"Job no mapeado: "Sound Director" (Sound)","Muerte, muerte, muerte","Sound Director"
4016849,"María Laura Moyano","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Muerte, muerte, muerte","Assistant Director"
3902046,"Natán Silvestre","","",NULL,"Job no mapeado: "Assistant Director" (Directing)","Muerte, muerte, muerte","Assistant Director"
3905033,"Laureana Bogado","","",NULL,"Job no mapeado: "Clapper Loader" (Camera)","Muerte, muerte, muerte","Clapper Loader"
4102299,"Milagros Rocha","","",NULL,"Job no mapeado: "Clapper Loader" (Camera)","Muerte, muerte, muerte","Clapper Loader"
3902046,"Natán Silvestre","","",NULL,"Job no mapeado: "Clapper Loader" (Camera)","Muerte, muerte, muerte","Clapper Loader"
3902048,"Lucas Mendoza","","",NULL,"Job no mapeado: "Camera Operator" (Camera)","Muerte, muerte, muerte","Camera Operator"
3902048,"Lucas Mendoza","","",NULL,"Job no mapeado: "Gaffer" (Lighting)","Muerte, muerte, muerte","Gaffer"
3902048,"Lucas Mendoza","","",NULL,"Job no mapeado: "Lighting Technician" (Lighting)","Muerte, muerte, muerte","Lighting Technician"
4016849,"María Laura Moyano","","",NULL,"Job no mapeado: "Lighting Technician" (Lighting)","Muerte, muerte, muerte","Lighting Technician"
3902051,"Zeferí Encina Leveratto","","",NULL,"Job no mapeado: "Lighting Technician" (Lighting)","Muerte, muerte, muerte","Lighting Technician"
4221984,"Guillermo Moyano","","",NULL,"Job no mapeado: "Electrician" (Lighting)","Muerte, muerte, muerte","Electrician"
3902048,"Lucas Mendoza","","",NULL,"Job no mapeado: "Electrician" (Lighting)","Muerte, muerte, muerte","Electrician"
3905033,"Laureana Bogado","","",NULL,"Job no mapeado: "Set Decoration" (Art)","Muerte, muerte, muerte","Set Decoration"
4016849,"María Laura Moyano","","",NULL,"Job no mapeado: "Set Decoration" (Art)","Muerte, muerte, muerte","Set Decoration"
4102299,"Milagros Rocha","","",NULL,"Job no mapeado: "Set Decoration" (Art)","Muerte, muerte, muerte","Set Decoration"
3905033,"Laureana Bogado","","",NULL,"Job no mapeado: "Special Effects Makeup Artist" (Costume & Make-Up)","Muerte, muerte, muerte","Special Effects Makeup Artist"
4016849,"María Laura Moyano","","",NULL,"Job no mapeado: "Special Effects Makeup Artist" (Costume & Make-Up)","Muerte, muerte, muerte","Special Effects Makeup Artist"
4102299,"Milagros Rocha","","",NULL,"Job no mapeado: "Special Effects Makeup Artist" (Costume & Make-Up)","Muerte, muerte, muerte","Special Effects Makeup Artist"
4192576,"Celeste Urreaga","","",NULL,"Job no mapeado: "Sound Assistant" (Sound)","Muerte, muerte, muerte","Sound Assistant"
4192576,"Celeste Urreaga","","",NULL,"Job no mapeado: "Boom Operator" (Sound)","Muerte, muerte, muerte","Boom Operator"
4223737,"Milo González","","",NULL,"Job no mapeado: "Boom Operator" (Sound)","Muerte, muerte, muerte","Boom Operator"
4221985,"Camila Aranda","","",NULL,"Job no mapeado: "Still Photographer" (Camera)","Muerte, muerte, muerte","Still Photographer"
4192576,"Celeste Urreaga","","",NULL,"Job no mapeado: "Still Photographer" (Camera)","Muerte, muerte, muerte","Still Photographer"
3905033,"Laureana Bogado","","",NULL,"Job no mapeado: "Still Photographer" (Camera)","Muerte, muerte, muerte","Still Photographer"
3902048,"Lucas Mendoza","","",NULL,"Job no mapeado: "Still Photographer" (Camera)","Muerte, muerte, muerte","Still Photographer"
